"name","file","start_line","end_line","scope"
"check_state_key","lib/yaml/constructor.py",34,34,"Class BaseConstructor"
"get_state_keys_blacklist_regexp","lib/yaml/constructor.py",489,489,"Class FullConstructor"
"construct_document","lib/yaml/constructor.py",54,54,"Class BaseConstructor"
"construct_object","lib/yaml/constructor.py",67,67,"Class BaseConstructor"
"construct_scalar","lib/yaml/constructor.py",117,117,"Class BaseConstructor"
"construct_scalar","lib/yaml/constructor.py",173,173,"Class SafeConstructor"
"construct_sequence","tests/legacy_tests/test_structure.py",148,148,"Class MyLoader"
"construct_sequence","tests/legacy_tests/test_structure.py",164,164,"Class MyCanonicalLoader"
"construct_sequence","lib/yaml/constructor.py",124,124,"Class BaseConstructor"
"construct_mapping","tests/legacy_tests/test_structure.py",150,150,"Class MyLoader"
"construct_mapping","tests/legacy_tests/test_structure.py",166,166,"Class MyCanonicalLoader"
"construct_mapping","lib/yaml/constructor.py",132,132,"Class BaseConstructor"
"construct_mapping","lib/yaml/constructor.py",215,215,"Class SafeConstructor"
"listcomp","lib/yaml/representer.py",363,363,"Function represent_ordered_dict"
"listcomp",".github/actions/dynamatrix/matrix_yaml_to_json.py",29,29,"Function _filter_omit_entries"
"listcomp","lib/yaml/tokens.py",7,8,"Function __repr__"
"listcomp","lib/yaml/tokens.py",10,11,"Function __repr__"
"listcomp","lib/yaml/constructor.py",129,130,"Function construct_sequence"
"listcomp","lib/yaml/constructor.py",254,254,"Function construct_yaml_int"
"listcomp","lib/yaml/constructor.py",283,283,"Function construct_yaml_float"
"listcomp","lib/yaml/events.py",9,10,"Function __repr__"
"listcomp","lib/yaml/events.py",11,12,"Function __repr__"
"listcomp","examples/yaml-highlight/yaml_hl.py",17,17,"Function __init__"
"construct_pairs","lib/yaml/constructor.py",147,147,"Class BaseConstructor"
"flatten_mapping","lib/yaml/constructor.py",180,180,"Class SafeConstructor"
"construct_yaml_null","lib/yaml/constructor.py",220,220,"Class SafeConstructor"
"construct_yaml_bool","lib/yaml/constructor.py",233,233,"Class SafeConstructor"
"construct_yaml_int","lib/yaml/constructor.py",237,237,"Class SafeConstructor"
"construct_yaml_float","lib/yaml/constructor.py",270,270,"Class SafeConstructor"
"construct_yaml_binary","lib/yaml/constructor.py",294,294,"Class SafeConstructor"
"construct_yaml_timestamp","lib/yaml/constructor.py",322,322,"Class SafeConstructor"
"construct_yaml_omap","lib/yaml/constructor.py",353,353,"Class SafeConstructor"
"construct_yaml_pairs","lib/yaml/constructor.py",375,375,"Class SafeConstructor"
"construct_yaml_set","lib/yaml/constructor.py",396,396,"Class SafeConstructor"
"construct_yaml_str","lib/yaml/constructor.py",402,402,"Class SafeConstructor"
"construct_yaml_seq","lib/yaml/constructor.py",405,405,"Class SafeConstructor"
"construct_yaml_map","lib/yaml/constructor.py",410,410,"Class SafeConstructor"
"construct_undefined","tests/legacy_tests/test_structure.py",154,154,"Class MyLoader"
"construct_undefined","tests/legacy_tests/test_structure.py",170,170,"Class MyCanonicalLoader"
"construct_undefined","lib/yaml/constructor.py",426,426,"Class SafeConstructor"
"get_state_keys_blacklist","tests/legacy_tests/test_constructor.py",229,229,"Class MyFullLoader"
"get_state_keys_blacklist","lib/yaml/constructor.py",486,486,"Class FullConstructor"
"construct_python_str","lib/yaml/constructor.py",494,494,"Class FullConstructor"
"construct_python_unicode","lib/yaml/constructor.py",497,497,"Class FullConstructor"
"construct_python_bytes","lib/yaml/constructor.py",500,500,"Class FullConstructor"
"construct_python_long","lib/yaml/constructor.py",516,516,"Class FullConstructor"
"construct_python_complex","lib/yaml/constructor.py",519,519,"Class FullConstructor"
